course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AAST498L,Lisa Mar,3,11,7,4,2,1,0,0,0,0,0,0,1,0,0
AAST498M,Philip Nash,31,145,19,3,2,0,0,0,0,0,0,0,0,8,1
AAST498N,Deepa Iyer,0,1,4,6,3,1,1,0,0,0,0,0,0,1,0
AAST498N,Lakshmi Sridaran,2,4,1,0,2,0,0,0,1,0,0,0,0,2,0
AAST498O,Gemirald Daus,3,5,0,1,0,1,0,0,0,0,0,0,0,2,1
AAST498Q,Gemirald Daus,3,17,2,4,8,2,2,0,3,0,0,0,1,4,3
AAST498Q,Jeannette Soon-Ludes,2,0,3,1,2,4,1,0,0,0,0,0,0,0,2
AAST498T,Janelle Wong,2,8,14,18,10,9,4,2,3,0,0,0,0,3,1
AAST498V,Janelle Wong,0,2,2,7,1,1,1,0,0,1,0,0,0,0,1
AAST498W,Binod Paudyal,5,3,6,1,0,0,0,0,1,0,0,0,1,1,0
AAST498W,Janelle Wong,6,4,1,0,1,0,0,0,1,0,0,0,0,0,0
AAST498X,Lawrence-Minh Davis,0,2,4,2,6,3,1,0,0,0,0,0,1,1,0
AAST498X,Terry Park,2,13,6,8,2,1,0,0,0,0,0,0,1,2,1
AAST498Y,Lawrence-Minh Davis,0,7,13,13,30,11,6,3,2,0,2,1,2,8,3
AAST498Z,Deepa Iyer,0,2,4,6,10,3,1,1,4,0,2,0,0,1,0
AAST498Z,Shuji Otsuka,0,3,7,4,4,2,1,0,0,0,0,0,0,1,0
ABRM330,Rashawn Ray,3,8,5,4,6,0,2,4,1,1,0,1,0,0,0
AGNR200,Ann Leger,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AGNR200,Chenglin Zhu,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AGNR200,Cuiyin Wu,27,7,0,0,1,0,0,0,0,0,0,0,0,0,0
AGNR270,Deborah Mateik,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
AGNR300,Bruce James,35,43,12,10,19,2,1,1,0,0,0,0,3,4,1
AGNR301,Cara Lynch,5,14,9,3,13,2,4,3,1,0,1,1,3,0,1
AGNR301,Caroline Boules,126,250,94,58,51,21,9,9,2,1,4,1,3,20,12
AGNR301,Daria Karetnikov,47,70,57,31,42,18,10,9,4,2,1,1,1,5,4
AGNR301,Daria Scala,79,86,49,16,27,8,4,4,1,0,0,0,4,10,3
AGNR301,Edward Sinnes,28,100,9,8,8,1,3,3,0,0,0,0,2,2,0
AGNR301,Robert Sprinkle,0,41,20,18,27,9,0,0,0,0,0,0,0,4,4
AGNR323,Jeff Howard,1,5,12,0,1,3,0,0,1,0,0,0,0,1,0
AGNR606,Melissa Welsh,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
AGNR630,Melissa Welsh,2,0,2,0,0,2,0,0,0,0,0,0,0,1,1
AGST130,Angus Murphy,14,2,0,28,3,0,4,1,0,2,0,0,1,3,0
AGST130,Wendy Peer,0,29,6,1,62,5,0,16,2,0,2,0,4,14,3
AGST275,Wendy Peer,0,13,0,0,9,0,0,4,0,0,0,0,1,1,0
